"","agebound","Lspline","Mspline","Sspline","gender","f"
"1",17,NA,-0.13004306827049,0.0968119364066631,1,"FEV1"
"2",18,NA,-0.109329201551162,0.0905980433353277,1,"FEV1"
"3",19,NA,-0.0899359039732168,0.0846295213473667,1,"FEV1"
"4",20,NA,-0.0714106691347691,0.078873344562854,1,"FEV1"
"5",21,NA,-0.053527360497359,0.0733097406367662,1,"FEV1"
"6",22,NA,-0.0369859617300605,0.0678836521188715,1,"FEV1"
"7",23,NA,-0.0227215747731329,0.0623999337608518,1,"FEV1"
"8",24,NA,-0.011889687733655,0.0564527154418952,1,"FEV1"
"9",25,NA,-0.00477277421758693,0.0498581576857227,1,"FEV1"
"10",26,NA,-0.000459325129501309,0.0427458519300261,1,"FEV1"
"11",27,NA,0.00199977647400118,0.0352884411835053,1,"FEV1"
"12",28,NA,0.00364237661378475,0.0277367582226726,1,"FEV1"
"13",29,NA,0.00529872341209625,0.0203095245327347,1,"FEV1"
"14",30,NA,0.00710272183341587,0.0131503042568726,1,"FEV1"
"15",31,NA,0.00886862300724189,0.00635639100499974,1,"FEV1"
"16",32,NA,0.0104408862931233,-7.96731095675796e-06,1,"FEV1"
"17",33,NA,0.0116916248593224,-0.00592741056406432,1,"FEV1"
"18",34,NA,0.0125175624258755,-0.011397710925273,1,"FEV1"
"19",35,NA,0.0129146971594221,-0.0164172262346987,1,"FEV1"
"20",36,NA,0.0130179397059997,-0.0209859121719917,1,"FEV1"
"21",37,NA,0.0129559941984638,-0.0251058444972201,1,"FEV1"
"22",38,NA,0.0128542798926379,-0.0287692318748882,1,"FEV1"
"23",39,NA,0.0128542691627587,-0.0319456633111974,1,"FEV1"
"24",40,NA,0.013080974517365,-0.0346078112626946,1,"FEV1"
"25",41,NA,0.0136242015906447,-0.036731061111102,1,"FEV1"
"26",42,NA,0.0144477940951617,-0.0382735689113392,1,"FEV1"
"27",43,NA,0.015472631223135,-0.0391918974934935,1,"FEV1"
"28",44,NA,0.0166291628258097,-0.0394507122018157,1,"FEV1"
"29",45,NA,0.0178350278749395,-0.0390613184324549,1,"FEV1"
"30",46,NA,0.0189613303045029,-0.0381413067503518,1,"FEV1"
"31",47,NA,0.0198861468281155,-0.0368126990413069,1,"FEV1"
"32",48,NA,0.0205031016309043,-0.0351838594354739,1,"FEV1"
"33",49,NA,0.0207379534272665,-0.0333415382622029,1,"FEV1"
"34",50,NA,0.0205790535074435,-0.0313356881628755,1,"FEV1"
"35",51,NA,0.0200265632096528,-0.0292061249387379,1,"FEV1"
"36",52,NA,0.019081667335632,-0.0269885024343193,1,"FEV1"
"37",53,NA,0.0177519758523843,-0.0247111172365586,1,"FEV1"
"38",54,NA,0.0160990803130421,-0.0223640682031179,1,"FEV1"
"39",55,NA,0.0142088448701543,-0.019918983445351,1,"FEV1"
"40",56,NA,0.0121590000840293,-0.017350484451697,1,"FEV1"
"41",57,NA,0.0100196016062668,-0.0146361014335676,1,"FEV1"
"42",58,NA,0.0078462287326122,-0.011754262111519,1,"FEV1"
"43",59,NA,0.00565079987183914,-0.00867726948174585,1,"FEV1"
"44",60,NA,0.00343208522351546,-0.00537782847386659,1,"FEV1"
"45",61,NA,0.00118902284324918,-0.00183172300535617,1,"FEV1"
"46",62,NA,-0.00107929322488154,0.00198248622286012,1,"FEV1"
"47",63,NA,-0.0033766988551811,0.0060823617258281,1,"FEV1"
"48",64,NA,-0.0057400686839113,0.0104683828158523,1,"FEV1"
"49",65,NA,-0.00822326275568486,0.0151313450310937,1,"FEV1"
"50",66,NA,-0.01087542226594,0.0200622623748692,1,"FEV1"
"51",67,NA,-0.0137410779002014,0.0252525004849007,1,"FEV1"
"52",68,NA,-0.0168605525376133,0.0306937601987407,1,"FEV1"
"53",69,NA,-0.0202623142532747,0.036374341167245,1,"FEV1"
"54",70,NA,-0.0239368420471227,0.0422668362457284,1,"FEV1"
"55",71,NA,-0.0278653660353338,0.0483413255000342,1,"FEV1"
"56",72,NA,-0.0320302995561157,0.0545700810649004,1,"FEV1"
"57",73,NA,-0.0364151556449563,0.0609274004931954,1,"FEV1"
"58",74,NA,-0.0410044698286605,0.0673894540046382,1,"FEV1"
"59",75,NA,-0.0457826902607597,0.073934090042524,1,"FEV1"
"60",76,NA,-0.05072547250046,0.0805402537591875,1,"FEV1"
"61",77,NA,-0.0558048083764753,0.0871881413454816,1,"FEV1"
"62",78,NA,-0.060994589725885,0.0938593864837531,1,"FEV1"
"63",79,NA,-0.0662705295829884,0.100536959321068,1,"FEV1"
"64",80,NA,-0.071610033412691,0.107205070536973,1,"FEV1"
"65",81,NA,-0.0769920804038549,0.113849082964933,1,"FEV1"
"66",82,NA,-0.0823981053529437,0.120456506471801,1,"FEV1"
"67",83,NA,-0.0878159623149042,0.127021335884191,1,"FEV1"
"68",84,NA,-0.0932359936046012,0.133539815148604,1,"FEV1"
"69",85,NA,-0.0986492048215446,0.140008485628864,1,"FEV1"
"70",86,NA,-0.104047219413033,0.146424164274581,1,"FEV1"
"71",87,NA,-0.109422237523969,0.152783924454646,1,"FEV1"
"72",88,NA,-0.114766997843473,0.159085078215355,1,"FEV1"
"73",89,NA,-0.120074821564499,0.165325203456218,1,"FEV1"
"74",90,NA,-0.125341559561218,0.171503216781852,1,"FEV1"
"75",91,NA,-0.130565551248822,0.177619353546594,1,"FEV1"
"76",92,NA,-0.135745378854566,0.183673936259399,1,"FEV1"
"77",93,NA,-0.140879744535614,0.189667309395054,1,"FEV1"
"78",94,NA,-0.145967462390026,0.195599837199825,1,"FEV1"
"79",95,NA,-0.151007451031598,0.201471901675683,1,"FEV1"
"80",17,NA,-0.187432824216193,-0.00941717645175633,2,"FEV1"
"81",18,NA,-0.156848555058896,0.00064261266623955,2,"FEV1"
"82",19,NA,-0.129568781410939,0.0106634815305529,2,"FEV1"
"83",20,NA,-0.105463307019843,0.0211930938259441,2,"FEV1"
"84",21,NA,-0.0837443013138204,0.0325414893776541,2,"FEV1"
"85",22,NA,-0.0629307072137255,0.0444205167755887,2,"FEV1"
"86",23,NA,-0.0429900440530009,0.0561943968911631,2,"FEV1"
"87",24,NA,-0.0257233040713789,0.0668870942551378,2,"FEV1"
"88",25,NA,-0.0124259097289681,0.0757452457502974,2,"FEV1"
"89",26,NA,-0.00376807189330286,0.0822397772807246,2,"FEV1"
"90",27,NA,0.000354686323834841,0.0860760957853177,2,"FEV1"
"91",28,NA,0.00119148266886704,0.0872351009436758,2,"FEV1"
"92",29,NA,8.26993774261098e-06,0.0857833627626166,2,"FEV1"
"93",30,NA,-0.00160693117081223,0.0819883728285755,2,"FEV1"
"94",31,NA,-0.00218860801307841,0.0761504962321919,2,"FEV1"
"95",32,NA,-0.00118121320692666,0.0685856120202804,2,"FEV1"
"96",33,NA,0.000940707577580469,0.059645739476073,2,"FEV1"
"97",34,NA,0.0037007892850287,0.0496450619454794,2,"FEV1"
"98",35,NA,0.00665693218322083,0.0389703572287048,2,"FEV1"
"99",36,NA,0.00940424626920056,0.028045253239374,2,"FEV1"
"100",37,NA,0.0116187873642826,0.0172325353730662,2,"FEV1"
"101",38,NA,0.0133447675629981,0.00686749196016123,2,"FEV1"
"102",39,NA,0.0148962352872921,-0.00274191922487876,2,"FEV1"
"103",40,NA,0.0165503428895448,-0.0113354357048712,2,"FEV1"
"104",41,NA,0.0183828961618726,-0.0187361166298272,2,"FEV1"
