parameter;sex;a0;a_ht;a_age
FVC;male;-4.65;0.06;-0.0214
FEV05;male;-1.914;0.0327;-0.0152
FEV1;male;-2.19;0.0414;-0.0244
FEV3;male;-3.512;0.0535;-0.0271
FEF25_75;male;2.133;0.0204;-0.038
FEV1FVC;male;110.49;-0.13;-0.152
FEV3FVC;male;112.09;-0.0627;-0.145
FVC;female;-3.59;0.0491;-0.0216
FEV05;female;-0.809;0.0238;-0.0185
FEV1;female;-1.578;0.0342;-0.0255
FEV3;female;-2.745;0.0442;-0.0257
FEF25_75;female;2.683;0.0154;-0.046
FEV1FVC;female;126.58;-0.202;-0.252
FEV3FVC;female;118.16;-0.0937;-0.163
