,agebound,Mspline,Sspline,Lspline,gender,f
111,74,-0.07530561,0.15268452,,2,FEV1
112,75,-0.09778274,0.19261045,,1,FEV1
113,75,-0.0823414,0.16383657,,2,FEV1
114,76,-0.10606356,0.20460993,,1,FEV1
115,76,-0.08935369,0.17489401,,2,FEV1
116,77,-0.11429522,0.21655269,,1,FEV1
117,77,-0.09632706,0.18584991,,2,FEV1
118,78,-0.12246272,0.22843456,,1,FEV1
119,78,-0.1032473,0.19669798,,2,FEV1
120,79,-0.13055224,0.2402517,,1,FEV1
121,79,-0.11010265,0.20743333,,2,FEV1
122,80,-0.13855545,0.25199873,,1,FEV1
123,80,-0.1168877,0.21805473,,2,FEV1
124,81,-0.14647394,0.26366659,,1,FEV1
125,81,-0.12359877,0.22856195,,2,FEV1
126,82,-0.15431045,0.27524646,,1,FEV1
127,82,-0.13023256,0.23895489,,2,FEV1
128,83,-0.16206759,0.2867302,,1,FEV1
129,83,-0.13678604,0.24923353,,2,FEV1
130,84,-0.16974786,0.29811033,,1,FEV1
131,84,-0.14325649,0.25939798,,2,FEV1
132,85,-0.17735363,0.30937998,,1,FEV1
133,85,-0.14964158,0.26944846,,2,FEV1
134,86,-0.18488703,0.32053315,,1,FEV1
135,86,-0.15594208,0.27938635,,2,FEV1
136,87,-0.19234845,0.33156821,,1,FEV1
137,87,-0.16216113,0.2892139,,2,FEV1
138,88,-0.1997372,0.34248622,,1,FEV1
139,88,-0.16830181,0.29893332,,2,FEV1
140,89,-0.2070527,0.35328829,,1,FEV1
141,89,-0.17436707,0.30854675,,2,FEV1
142,90,-0.21429443,0.36397556,,1,FEV1
143,90,-0.1803597,0.31805627,,2,FEV1
144,19,-0.067778,0.17046182,,1,FVC
145,19,-0.19435579,0.27941331,,2,FVC
146,20,-0.06346075,0.15612563,,1,FVC
147,20,-0.1740013,0.26265479,,2,FVC
148,21,-0.05927052,0.1424265,,1,FVC
149,21,-0.15456661,0.24613878,,2,FVC
150,22,-0.0552967,0.12943277,,1,FVC
151,22,-0.13606097,0.22924058,,2,FVC
152,23,-0.05159131,0.11722439,,1,FVC
153,23,-0.11848813,0.21147648,,2,FVC
154,24,-0.0479653,0.10574135,,1,FVC
155,24,-0.10169011,0.19282103,,2,FVC
156,25,-0.04416087,0.09481228,,1,FVC
157,25,-0.08562634,0.17348979,,2,FVC
158,26,-0.03985103,0.0841135,,1,FVC
159,26,-0.07046493,0.15394299,,2,FVC
160,27,-0.03482553,0.07330218,,1,FVC
161,27,-0.05646076,0.13464241,,2,FVC
162,28,-0.0290277,0.06198886,,1,FVC
163,28,-0.04397805,0.11605946,,2,FVC
164,29,-0.02255103,0.04996365,,1,FVC
165,29,-0.03316843,0.09854541,,2,FVC
166,30,-0.01580653,0.0373634,,1,FVC
167,30,-0.02382703,0.08230931,,2,FVC
168,31,-0.00916118,0.02437845,,1,FVC
169,31,-0.01572447,0.0674423,,2,FVC
170,32,-0.00273107,0.01133629,,1,FVC
171,32,-0.00861176,0.05368728,,2,FVC
172,33,0.00346918,-0.001419,,1,FVC
173,33,-0.00226152,0.04071765,,2,FVC
174,34,0.00937483,-0.0136241,,1,FVC
175,34,0.00346394,0.0282108,,2,FVC
176,35,0.01484044,-0.02509805,,1,FVC
177,35,0.00861507,0.01583737,,2,FVC
178,36,0.01973674,-0.03569954,,1,FVC
179,36,0.01323235,0.00334573,,2,FVC
180,37,0.02394966,-0.04536522,,1,FVC
181,37,0.01734724,-0.00920631,,2,FVC
182,38,0.02737934,-0.05408828,,1,FVC
183,38,0.02098583,-0.02162272,,2,FVC
184,39,0.02995142,-0.06186682,,1,FVC
185,39,0.02416373,-0.03371633,,2,FVC
186,40,0.03170402,-0.06868036,,1,FVC
187,40,0.02683434,-0.04519207,,2,FVC
188,41,0.03274371,-0.07449876,,1,FVC
189,41,0.02893316,-0.05574068,,2,FVC
190,42,0.03316746,-0.07929936,,1,FVC
191,42,0.03041592,-0.06509914,,2,FVC
192,43,0.03308649,-0.0830556,,1,FVC
193,43,0.03135557,-0.0730421,,2,FVC
