parameter;sex;a0;a_ht;a_age
FVC;male;-4.241;0.148;-0.025
FEV1;male;-1.26;0.092;-0.032
FEF25_75;male;2.513;0.047;-0.045
FEV1FVC;male;107.12;-0.3118;-0.2422
FVC;female;-2.852;0.115;-0.024
FEV1;female;-1.932;0.089;-0.025
FEF25_75;female;0.551;0.06;-0.03
FEV1FVC;female;88.7;-0.0679;-0.1815
