parameter;sex;a0;a_ht;a_age
FVC;male;-5.377;0.06628;-0.028
FEV1;male;-1.558;0.03961;-0.033
FEV1FVC;male;126.252;-0.21476;-0.242
PEFR;male;3.884;0.05317;-0.062
FEF50;male;6.456;0.0;-0.044
FVC;female;-2.379;0.04321;-0.023
FEV1;female;-1.394;0.03321;-0.025
FEV1FVC;female;88.134;0.0;-0.172
PEFR;female;2.945;0.04087;-0.05
FEF50;female;5.556;0.0;-0.038
