age;height;FEV1_females_pv;FEV1_females_p5;FEV1_females_lln;FVC_females_pv;FVC_females_p5;FVC_females_lln;FEV1FVC_females_pv;FEV1FVC_females_p5;FEV1FVC_females_lln;FEV1_males_pv;FEV1_males_p5;FEV1_males_lln;FVC_males_pv;FVC_males_p5;FVC_males_lln;FEV1FVC_males_pv;FEV1FVC_males_p5;FEV1FVC_males_lln
20;137;1.93279864256816;1.61342911128943;1.5604309087047;2.23706578549481;1.80117462125754;1.72666512178206;0.863239789809992;0.763705859225327;0.744637796301783;2.68870528282005;2.00779476564132;1.87735035828595;3.07315528966751;2.29447677220047;2.14530260735983;0.868363563587148;0.770699973886013;0.751990218701811
20;138;1.95317523874538;1.62885205355375;1.57507397011334;2.26079832683386;1.82028288862947;1.74498293418037;0.863239789809992;0.763705859225327;0.744637796301783;2.70855807968846;2.02764756250973;1.89720315515436;3.09827512554179;2.31959660807474;2.1704224432341;0.868363563587148;0.770699973886013;0.751990218701811
20;139;1.97376665588876;1.64441365577277;1.58984456434905;2.28478264151014;1.83959387142814;1.76349507624159;0.863239789809992;0.763705859225327;0.744637796301783;2.72841087655688;2.04750035937815;1.91705595202278;3.12339496141606;2.34471644394902;2.19554227910838;0.868363563587148;0.770699973886013;0.751990218701811
20;140;1.99457515875571;1.66011502490652;1.60474364787134;2.30902140053188;1.85910972021712;1.78220360956658;0.863239789809992;0.763705859225327;0.744637796301783;2.74826367342529;2.06735315624656;1.93690874889119;3.14851479729034;2.3698362798233;2.22066211498265;0.868363563587148;0.770699973886013;0.751990218701811
20;141;2.01560303597994;1.67595727432485;1.61977218182061;2.33351730324345;1.87883260837489;1.80111061762727;0.863239789809992;0.763705859225327;0.744637796301783;2.76811647029371;2.08720595311497;1.9567615457596;3.17363463316461;2.39495611569757;2.24578195085693;0.868363563587148;0.770699973886013;0.751990218701811
20;142;2.03685260032317;1.69194152381224;1.63493113201709;2.358273077626;1.8987647323368;1.8202182059987;0.863239789809992;0.763705859225327;0.744637796301783;2.78796926716212;2.10705874998339;1.97661434262802;3.19875446903889;2.42007595157184;2.2709017867312;0.868363563587148;0.770699973886013;0.751990218701811
20;143;2.05832618892946;1.7080688995742;1.6502214689589;2.38329148060119;1.91890831183969;1.83952850259349;0.863239789809992;0.763705859225327;0.744637796301783;2.80782206403053;2.1269115468518;1.99646713949643;3.22387430491316;2.44519578744612;2.29602162260548;0.868363563587148;0.770699973886013;0.751990218701811
20;144;2.08002616358233;1.72432317807089;1.66564416781851;2.4085752983383;1.93926559016913;1.85904365789882;0.863239789809992;0.763705859225327;0.744637796301783;2.82767486089895;2.14676434372022;2.01631993636485;3.24899414078744;2.47031562332039;2.32114145847975;0.868363563587148;0.770699973886013;0.751990218701811
20;145;2.10195491096444;1.74073935634539;1.68120020843759;2.43412734656445;1.9598388344092;1.87876584521591;0.863239789809992;0.763705859225327;0.744637796301783;2.84752765776736;2.16661714058863;2.03617273323326;3.27411397666171;2.49543545919467;2.34626129435403;0.868363563587148;0.770699973886013;0.751990218701811
20;146;2.12411484292018;1.75730209938671;1.69689057531964;2.4599504708782;1.98063033569498;1.89869726090207;0.863239789809992;0.763705859225327;0.744637796301783;2.86738045463578;2.18646993745704;2.05602553010167;3.29923381253599;2.52055529506894;2.3713811302283;0.868363563587148;0.770699973886013;0.751990218701811
20;147;2.14650839672087;1.77401256369762;1.71271625762025;2.48604754706642;2.00164240946771;1.91884012461528;0.863239789809992;0.763705859225327;0.744637796301783;2.88723325150419;2.20632273432546;2.07587832697009;3.32435364841026;2.54567513094322;2.39650096610258;0.868363563587148;0.770699973886013;0.751990218701811
20;148;2.16913803533282;1.790871912132;1.72867824913486;2.51242148142462;2.02287739573262;1.93919667956137;0.863239789809992;0.763705859225327;0.744637796301783;2.9070860483726;2.22617553119387;2.0957311238385;3.34947348428454;2.57079496681749;2.42162080197685;0.868363563587148;0.770699973886013;0.751990218701811
20;149;2.19200624768831;1.80788131387857;1.74477754828372;2.53907521108051;2.04433765931957;1.95976919274389;0.863239789809992;0.763705859225327;0.744637796301783;2.92693884524102;2.24602832806229;2.11558392070692;3.37459332015881;2.59591480269177;2.44674063785113;0.868363563587148;0.770699973886013;0.751990218701811
20;150;2.21511554895921;1.82504194444678;1.76101515809407;2.56601170432119;2.06602559014635;1.98055995521648;0.863239789809992;0.763705859225327;0.744637796301783;2.94679164210943;2.2658811249307;2.13543671757533;3.39971315603309;2.62103463856604;2.4718604737254;0.868363563587148;0.770699973886013;0.751990218701811
20;151;2.23846848083371;1.84235498565486;1.77739208617946;2.59323396092364;2.0879436034849;2.00157128233812;0.863239789809992;0.763705859225327;0.744637796301783;2.96664443897784;2.28573392179911;2.15528951444374;3.42483299190736;2.64615447444032;2.49698030959968;0.868363563587148;0.770699973886013;0.751990218701811
20;152;2.26206761179584;1.85982162561992;1.79390934471619;2.62074501248882;2.11009414023023;2.02280551403088;0.863239789809992;0.763705859225327;0.744637796301783;2.98649723584626;2.30558671866753;2.17514231131216;3.44995282778164;2.67127431031459;2.52210014547395;0.868363563587148;0.770699973886013;0.751990218701811
20;153;2.28591553740795;1.87744305874989;1.81059151121478;2.64854792277929;2.13247966717227;2.04426501504058;0.863239789809992;0.763705859225327;0.744637796301783;3.00635003271467;2.32543951553594;2.19499510818057;3.47507266365591;2.69639414618887;2.54721998134823;0.868363563587148;0.770699973886013;0.751990218701811
20;154;2.31001488059618;1.89522048573721;1.82739257116487;2.67664578806041;2.15510267727058;2.06595217520011;0.863239789809992;0.763705859225327;0.744637796301783;3.02620282958309;2.34529231240435;2.21484790504898;3.50019249953018;2.72151398206314;2.5723398172225;0.868363563587148;0.770699973886013;0.751990218701811
20;155;2.33436829193899;1.91315511355412;1.84433692177232;2.7050417374451;2.17796568993202;2.08786940969556;0.863239789809992;0.763705859225327;0.744637796301783;3.0460556264515;2.36514510927277;2.2347007019174;3.52531233540446;2.74663381793742;2.59745965309678;0.868363563587148;0.770699973886013;0.751990218701811
20;156;2.35897844995864;1.9312481554493;1.86142559003964;2.7337389332424;2.20107125129123;2.11001915933522;0.863239789809992;0.763705859225327;0.744637796301783;3.06590842331991;2.38499790614118;2.25455349878581;3.55043217127874;2.77175365381169;2.62257948897105;0.868363563587148;0.770699973886013;0.751990218701811
20;157;2.38384806141579;1.94950083094565;1.87865960825528;2.76274057130956;2.22442193449428;2.13240389082135;0.863239789809992;0.763705859225327;0.744637796301783;3.08576122018833;2.4048507030096;2.27440629565423;3.57555200715301;2.79687348968597;2.64769932484533;0.868363563587148;0.770699973886013;0.751990218701811
20;158;2.40897986160724;1.96791436583914;1.89604001402789;2.792049881408;2.24802033998516;2.15502609702494;0.863239789809992;0.763705859225327;0.744637796301783;3.10561401705674;2.42470349987801;2.29425909252264;3.60067184302728;2.82199332556024;2.6728191607196;0.868363563587148;0.770699973886013;0.751990218701811
20;159;2.43437661466674;1.98648999219835;1.91356785031473;2.82167012756296;2.27186909579541;2.17788829726331;0.863239789809992;0.763705859225327;0.744637796301783;3.12546681392516;2.44455629674642;2.31411188939105;3.62579167890156;2.84711316143452;2.69793899659388;0.868363563587148;0.770699973886013;0.751990218701811
20;160;2.46004111386901;2.00522894836459;1.93124416544392;2.85160460842703;2.29597085783677;2.20099303758064;0.863239789809992;0.763705859225327;0.744637796301783;3.14531961079357;2.46440909361484;2.33396468625947;3.65091151477583;2.87223299730879;2.72305883246815;0.868363563587148;0.770699973886013;0.751990218701811
20;161;2.48597618193698;2.0241324789524;1.9490700131304;2.88185665764746;2.32032831019699;2.22434289103155;0.863239789809992;0.763705859225327;0.744637796301783;3.16517240766198;2.48426189048325;2.35381748312788;3.67603135065011;2.89735283318307;2.74817866834243;0.868363563587148;0.770699973886013;0.751990218701811
20;162;2.51218467135221;2.04320183485011;1.96704645248531;2.91242964423744;2.3449441654387;2.24794045796763;0.863239789809992;0.763705859225327;0.744637796301783;3.1850252045304;2.50411468735167;2.3736702799963;3.70115118652438;2.92247266905734;2.7732985042167;0.868363563587148;0.770699973886013;0.751990218701811
20;163;2.53866946466867;2.06243827322038;1.98517454801881;2.94332697295129;2.36982116490152;2.27178836632703;0.863239789809992;0.763705859225327;0.744637796301783;3.20487800139881;2.52396748422008;2.39352307686471;3.72627102239866;2.94759250493162;2.79841834009098;0.868363563587148;0.770699973886013;0.751990218701811
